Reference,Quantity,Value,Part Description,Lazada Link
BT1,1,Battery,9V Battery Snap or Barrel Connector,https://www.lazada.com.ph/products/10-pcs-3-terminal-soldering-21mm-x-55mm-female-power-jack-dc-socket-i3351654734.html
C1,1,10nF,Film Capacitors 50volts 0.01uF 10% LS 5mm,https://www.lazada.com.ph/products/polyester-film-capacitor-100v-mylar-022nf-033nf-047nf-056nf-068nf-1nf-22nf-27nf-33nf-39nf-47nf-68nf-10nf-15nf-22nf-33nf-39nf-47nf-68nf-82nf-100nf-150nf-220nf-470nf-capacitors-diy-electric-electronics-electrical-projects-i1813190000-s7694724713.html?
C2,1,100nF,Film Capacitors 50volts 0.1uF 10% LS 5mm,https://www.lazada.com.ph/products/polyester-film-capacitor-100v-mylar-022nf-033nf-047nf-056nf-068nf-1nf-22nf-27nf-33nf-39nf-47nf-68nf-10nf-15nf-22nf-33nf-39nf-47nf-68nf-82nf-100nf-150nf-220nf-470nf-capacitors-diy-electric-electronics-electrical-projects-i1813190000-s7694724705.html?
C3,1,10uF,Aluminum Electrolytic Capacitors - Radial Leaded 25volts 10uF,https://www.lazada.com.ph/products/aluminum-electrolytic-capacitor-10v-16v-25v-50v-01uf-022uf-047uf-1uf-22uf-33uf-47uf-68uf-10uf-22uf-33uf-47uf-100uf-220uf-330uf-470uf-680uf-1000uf-1500uf-2200uf-capacitors-diy-electric-electronics-electrical-i3173267222-s15820429455.html?
D1,1,5MM LED,"Standard 5MM LED, any color will do",https://www.lazada.com.ph/products/20pcs-pack-3mm-5mm-led-light-diode-red-blue-green-white-yellow-2-pins-light-emitting-diode-3v-dc-dip-bead-lighting-f3-f5-3-5-mm-i1641986278-s11919111183.html
J2,1,3.5mm Audio Jack,3.5mm Mono Jack,https://www.lazada.com.ph/products/50pcs-35mm-female-audio-connector-3-pin-dip-headphone-jack-socket-mono-channel-pj-301m-wholesale-i385302560.html
R1,1,1k,1/4W Resistor 1k ohms,https://www.lazada.com.ph/products/50pcs-1k-ohms-14w-metal-film-resistors-pack-1kohms-025w-watt-1-tolerance-1000r-electronic-part-ohm-5-bands-1-k-i857644178.html
R2,1,10k,1/4W Resistor 10k ohms,https://www.lazada.com.ph/products/50pcs-10k-ohms-14w-metal-film-resistors-pack-10-k-ohm-025w-watt-1-tolerance-10k-r-i864070514.html
RV1 RV2,2,500k,500k Potentiometers. Also try 100k and 1M for different response and range.,https://www.lazada.com.ph/products/5set10pcs-rv09-vertical-1k-500k-ohm-adjustable-resistor-3pin-seal-potentiometer-for-arduino-with-knob-white-cap-5pcs5pcs-i3041518559-s14980566540.html?
U1 U2,2,NE555P,Timers & Support Products,https://www.lazada.com.ph/products/diymore-10pcs50pcs-lot-ne555-ne-555-ne555p-dip-8-dip-8-single-bipolar-timers-ic-chip-diymore-i1118752497.html
